”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2021/06/23,7.16,7.71,7.99,871480300
2021/06/24,7.31,7.84,8.01,864289000
2021/06/25,7.31,7.97,8.29,903299300
2021/06/26,6.79,7.03,6.54,822271750
2021/06/27,6.68,6.94,6.17,748640550
2021/06/28,7.18,7.99,8.75,891481600
2021/06/29,7.65,8.26,8.30,862056050
2021/06/30,7.54,8.25,8.88,901071150
2021/07/01,8.17,9.09,9.34,908738450
2021/07/02,7.71,8.45,8.93,945751050
2021/07/03,7.00,7.11,7.27,863674800
2021/07/04,6.53,6.62,6.20,882840000
2021/07/05,8.04,8.99,9.15,956875250
2021/07/06,7.63,8.49,8.92,970876450
2021/07/07,8.05,8.76,8.78,982258250
2021/07/08,8.31,9.15,9.79,954608350
2021/07/09,8.29,9.08,9.27,986839950
2021/07/10,7.13,7.42,7.37,954644600
2021/07/11,6.79,7.15,6.42,939837850
2021/07/12,7.76,8.76,9.01,997757100
2021/07/13,8.02,8.62,8.58,1004748300
2021/07/14,8.05,9.03,9.28,1019221800
2021/07/15,7.93,8.56,8.89,1020347850
2021/07/16,8.39,9.27,9.95,1035817250
2021/07/17,7.35,7.67,6.91,1014488000
2021/07/18,6.94,7.22,6.30,1000038500
2021/07/19,8.28,9.60,9.75,1066138250
2021/07/20,9.13,10.22,9.53,1068015650
2021/07/21,10.33,12.29,12.05,1081414400
2021/07/22,8.28,8.91,8.68,995690200
2021/07/23,8.01,8.72,8.87,1013159600
2021/07/24,7.97,8.49,8.19,1011131550
2021/07/25,7.34,7.77,7.03,1012973000
2021/07/26,8.54,9.93,10.15,1085298500
2021/07/27,8.76,9.69,9.83,1076769100
2021/07/28,8.76,9.99,9.95,1089775250
2021/07/29,9.48,11.03,10.55,1102127850
2021/07/30,8.96,10.06,10.02,1105915450
2021/07/31,7.49,7.97,7.60,1018733250
2021/08/01,7.77,8.43,8.62,999273000
2021/08/02,10.01,12.03,14.51,1090490200
2021/08/03,10.07,11.49,11.24,1081968400
2021/08/04,10.73,12.58,12.58,1105107750
2021/08/05,11.80,14.37,12.45,1118470650
2021/08/06,10.71,12.48,12.39,1117108650
2021/08/07,9.12,9.80,9.90,1000559700
2021/08/08,8.58,9.46,9.48,1014456150
2021/08/09,9.61,11.24,11.09,1016436900
2021/08/10,9.23,10.59,10.17,1106975850
2021/08/11,9.29,10.73,11.80,1103485950
2021/08/12,8.07,9.09,10.15,1085017950
2021/08/13,7.48,8.10,8.77,1002521150
2021/08/14,7.31,7.99,7.85,963276750
2021/08/15,6.60,6.86,6.96,971759550
2021/08/16,7.47,8.45,9.15,1045482550
2021/08/17,7.41,8.31,9.00,1065660250
2021/08/18,7.35,8.25,8.24,1058912650
2021/08/19,7.71,8.54,9.03,1063476250
2021/08/20,7.81,8.81,9.08,1054191250
2021/08/21,7.71,8.20,8.08,966650300
2021/08/22,6.93,7.26,6.80,952690450
2021/08/23,8.07,9.14,9.42,1035555300
2021/08/24,8.29,9.37,10.11,1066952750
2021/08/25,8.37,9.45,9.83,1097673500
2021/08/26,9.38,11.04,10.53,1102997650
2021/08/27,9.17,10.46,10.67,1095479900
2021/08/28,8.00,8.53,8.23,979687550
2021/08/29,7.52,7.84,6.85,942761600
2021/08/30,9.48,11.07,10.97,1099056000
2021/08/31,9.00,10.17,10.23,1099792150
2021/09/01,9.48,10.44,10.63,1057186250
2021/09/02,8.79,10.01,10.42,1024885000
2021/09/03,8.55,9.48,10.14,1031257700
2021/09/04,7.64,7.87,7.72,957117100
2021/09/05,7.39,7.57,7.29,912740200
2021/09/06,7.90,8.44,8.69,1021276550
2021/09/07,7.76,8.28,8.53,1038424550
2021/09/08,7.44,7.91,7.78,998275550
2021/09/09,7.94,8.58,8.36,993864600
2021/09/10,7.62,8.30,8.46,1035916850
2021/09/11,7.76,8.16,8.01,909300700
2021/09/12,7.38,7.57,7.14,894304300
2021/09/13,8.10,8.96,9.68,1002966050
2021/09/14,8.63,9.61,10.27,976694200
2021/09/15,8.10,8.62,8.74,985810850
2021/09/16,7.85,8.37,8.24,990297000
2021/09/17,8.47,9.51,10.54,974168400
2021/09/18,7.62,7.97,7.36,879262200
2021/09/19,5.74,4.83,3.18,834794000
2021/09/20,7.02,7.24,6.86,789636550
2021/09/21,7.75,8.37,8.22,973971800
2021/09/22,8.54,9.66,10.02,933960050
2021/09/23,7.67,8.01,7.19,884039200
2021/09/24,8.76,9.23,9.79,974472650
2021/09/25,7.54,7.76,6.87,864538050
2021/09/26,7.30,7.57,7.26,797654600
2021/09/27,7.90,8.48,7.94,984328550
2021/09/28,7.97,8.48,8.31,980028400
2021/09/29,7.73,8.25,7.55,971118100
2021/09/30,8.99,9.74,10.08,924710750
2021/10/01,10.02,11.32,10.12,901231150
2021/10/02,8.81,8.70,7.75,815974500
2021/10/03,7.51,7.22,7.10,729210500
2021/10/04,9.94,11.61,9.96,876724750
2021/10/05,12.34,15.15,11.27,869614700
2021/10/06,11.53,13.63,11.07,903647850
2021/10/07,12.12,14.01,10.94,907616050
2021/10/08,13.93,16.72,14.37,948656800
2021/10/09,9.73,9.56,9.25,843355550
2021/10/10,8.70,9.00,8.31,808901400
2021/10/11,14.19,18.46,13.30,924390150
2021/10/12,16.41,20.84,24.10,896164600
2021/10/13,15.54,19.28,20.40,902708500
2021/10/14,11.37,12.43,10.06,927183100
2021/10/15,12.00,14.16,11.87,910140200
2021/10/16,9.38,9.44,8.94,847743300
2021/10/17,8.45,8.84,7.54,823633200
2021/10/18,11.40,13.36,11.87,892653950
2021/10/19,14.19,15.75,14.38,927505100
2021/10/20,11.69,11.98,9.73,941020050
2021/10/21,12.35,13.68,9.44,947969050
2021/10/22,15.45,17.14,13.27,907652550
2021/10/23,10.50,10.45,7.43,829884500
2021/10/24,9.95,10.19,7.36,809377300
2021/10/25,16.92,20.61,21.46,901192850
2021/10/26,15.38,14.64,9.30,871451100
2021/10/27,14.15,14.45,10.27,881634100
2021/10/28,13.17,12.76,9.15,876348900
2021/10/29,13.54,13.32,9.02,883304400
2021/10/30,12.12,11.25,8.42,821022600
2021/10/31,11.19,10.98,8.98,781055050
2021/11/01,17.87,17.95,19.04,827287650
2021/11/02,19.50,15.73,10.57,820183350
2021/11/03,13.98,14.18,10.46,798796850
2021/11/04,15.62,16.74,11.14,835037000
2021/11/05,14.02,14.52,10.39,846428350
2021/11/06,13.31,11.71,9.40,828269500
2021/11/07,12.06,9.89,7.20,765819100
2021/11/08,16.18,16.20,16.09,853769750
2021/11/09,19.03,21.44,20.21,830510050
2021/11/10,18.83,18.87,15.53,843352500
2021/11/11,17.97,18.83,18.57,865257950
2021/11/12,18.88,19.38,16.27,858145200
2021/11/13,14.88,14.20,11.44,811182650
2021/11/14,12.93,12.67,9.88,772335450
2021/11/15,18.92,20.84,18.62,831880650
2021/11/16,19.54,21.44,19.28,846699250
