”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2021/04/01,5.65,5.64,4.85,772537750
2021/04/02,5.52,5.49,5.01,823527050
2021/04/03,5.18,4.55,2.78,675226700
2021/04/04,5.83,6.18,5.80,769448700
2021/04/05,5.81,5.92,4.89,811469350
2021/04/06,6.13,5.76,4.84,826646000
2021/04/07,5.75,4.78,2.92,826462050
2021/04/08,6.47,6.13,5.19,768168950
2021/04/09,6.66,6.37,5.18,846378450
2021/04/10,5.90,4.42,1.55,721889650
2021/04/11,4.96,3.47,0.67,677057300
2021/04/12,7.27,7.30,6.73,858434050
2021/04/13,8.42,9.33,10.49,821207450
2021/04/14,7.67,7.71,5.81,811878600
2021/04/15,7.48,7.18,4.98,835636750
2021/04/16,7.73,7.97,7.13,884870350
2021/04/17,7.52,7.76,7.32,787778550
2021/04/18,4.54,3.49,0.85,697392100
2021/04/19,5.80,5.21,3.25,756003850
2021/04/20,6.21,5.35,4.38,767631450
2021/04/21,6.31,5.86,4.53,790053500
2021/04/22,7.06,6.98,5.60,787704900
2021/04/23,7.56,7.46,5.90,898427650
2021/04/24,6.64,5.85,4.71,696511050
2021/04/25,5.44,4.43,1.46,637341750
2021/04/26,7.22,7.30,4.80,738830200
2021/04/27,8.21,8.18,5.55,821582600
2021/04/28,10.11,11.55,10.79,814437600
2021/04/29,9.03,9.83,8.60,740276400
2021/04/30,6.52,5.97,4.68,758064350
2021/05/01,6.96,6.76,5.35,697266300
2021/05/02,6.13,5.90,4.91,619793900
2021/05/03,4.87,3.36,0.73,622329600
2021/05/04,4.54,3.40,0.73,607211500
2021/05/05,6.37,6.66,6.13,664752100
2021/05/06,5.13,4.13,1.82,688204850
2021/05/07,7.28,7.52,8.16,788013700
2021/05/08,5.81,5.20,4.50,664617350
2021/05/09,3.96,2.72,0.01,617422150
2021/05/10,6.02,5.92,5.28,725555250
2021/05/11,7.95,8.33,6.52,789569450
2021/05/12,8.15,8.39,8.67,841042100
2021/05/13,7.95,8.22,7.48,832820350
2021/05/14,6.92,6.92,6.24,811941750
2021/05/15,6.79,6.76,6.21,781783350
2021/05/16,6.62,6.94,6.88,733896850
2021/05/17,8.88,10.54,11.46,790380350
2021/05/18,7.88,8.37,7.92,842553600
2021/05/19,8.57,9.24,9.56,808160650
2021/05/20,8.71,10.17,11.05,838532250
2021/05/21,9.22,10.63,11.49,816230950
2021/05/22,6.53,6.25,5.30,702107300
2021/05/23,4.50,3.48,0.75,604835350
2021/05/24,8.80,10.44,11.38,789126950
2021/05/25,7.03,6.92,5.45,809207350
2021/05/26,6.72,6.87,6.81,860911500
2021/05/27,9.38,10.96,11.15,814284100
2021/05/28,6.80,6.87,6.96,807545150
2021/05/29,4.40,3.02,0.78,724281350
2021/05/30,3.80,2.78,0.75,613144450
2021/05/31,6.24,6.31,5.74,804871300
2021/06/01,6.89,6.79,6.21,825296800
2021/06/02,6.81,7.19,6.61,808626150
2021/06/03,7.61,7.97,8.60,829681650
2021/06/04,8.92,10.49,11.27,806274950
2021/06/05,6.22,6.16,5.61,778391650
2021/06/06,6.05,6.03,5.14,668770600
2021/06/07,6.95,7.31,6.56,824560900
2021/06/08,7.06,7.12,7.10,850399450
2021/06/09,7.11,7.07,6.57,868243600
2021/06/10,7.39,7.62,7.37,889991400
2021/06/11,7.42,7.82,8.04,932030550
2021/06/12,7.03,7.28,6.88,821556300
2021/06/13,6.48,6.56,6.33,794473950
2021/06/14,7.27,7.90,8.43,861744750
2021/06/15,7.14,7.47,7.90,899122450
2021/06/16,7.65,8.56,8.90,874849200
2021/06/17,7.27,7.83,7.66,894117900
2021/06/18,7.24,7.82,8.02,792573050
2021/06/19,6.69,6.83,6.49,798427150
2021/06/20,6.32,6.40,5.52,672766950
2021/06/21,7.22,7.60,7.14,868146450
2021/06/22,7.34,7.91,7.56,893827250
