nuclear,thermal,hydropower,geothermal,bioenergy,solar,wind,pumping_up,pumping_down,regional_in,regional_out,solar_curtailment,wind_curtailment,demand,spot_price,Date
1781,77619,7360,267,463,0,462,0,0,6095,-6439,0,0,87609,7.38,2016-12-31 17:00:00
1781,76022,7410,264,466,0,454,0,0,6015,-6321,0,0,86091,6.68,2016-12-31 18:00:00
1781,75094,7852,267,440,0,462,0,0,5912,-6212,0,0,85598,6.75,2016-12-31 19:00:00
1780,73611,8368,266,442,0,476,0,0,5885,-6236,0,0,84593,6.3,2016-12-31 20:00:00
1780,72128,8126,266,437,0,510,0,0,5871,-6185,0,0,82934,6.05,2016-12-31 21:00:00
1780,70028,7659,264,430,0,547,0,0,6145,-6373,0,0,80481,5.93,2016-12-31 22:00:00
1780,69455,7066,267,468,0,526,0,0,6489,-6717,0,0,79334,5.6,2016-12-31 23:00:00
1781,70114,7032,266,440,799,510,0,0,6516,-6805,0,0,80654,5.82,2017-01-01 00:00:00
1781,68390,6843,264,416,5587,490,-3,0,6458,-6875,0,0,83350,5.78,2017-01-01 01:00:00
1780,62143,6430,265,412,11330,582,-1510,0,6506,-6753,0,0,81183,5.41,2017-01-01 02:00:00
1781,58758,6363,263,412,15775,663,-6750,0,6422,-6601,0,0,77084,4.97,2017-01-01 03:00:00
1781,57249,6284,267,405,18118,762,-10621,0,6279,-6647,0,0,73877,4.9,2017-01-01 04:00:00
1781,57068,6091,264,398,17889,880,-11859,0,6177,-6511,0,0,72179,4.72,2017-01-01 05:00:00
1781,57307,6202,265,403,15381,1011,-11750,0,6409,-6745,0,0,70262,4.86,2017-01-01 06:00:00
1782,58014,6120,266,401,11538,1029,-8989,0,6405,-6684,0,0,69881,4.93,2017-01-01 07:00:00
1781,60972,6403,264,400,6037,1029,-4764,0,6340,-6788,0,0,71673,5.11,2017-01-01 08:00:00
1781,66369,7254,265,401,1352,1021,-836,0,6480,-6841,0,0,77245,5.55,2017-01-01 09:00:00
1778,74325,8716,266,404,18,965,-289,0,6635,-6926,0,0,85893,6.92,2017-01-01 10:00:00
1778,76193,9396,267,402,0,970,-8,0,6345,-6703,0,0,88640,7.13,2017-01-01 11:00:00
1780,76408,8878,265,404,0,949,0,0,6159,-6488,0,0,88355,7.15,2017-01-01 12:00:00
1781,76609,8599,264,404,0,916,0,0,6262,-6446,0,0,88389,7.08,2017-01-01 13:00:00
1781,76270,7837,265,404,0,903,0,0,6182,-6378,0,0,87264,6.84,2017-01-01 14:00:00
1781,73878,7151,267,432,0,883,0,0,6226,-6436,0,0,84180,6.48,2017-01-01 15:00:00
1781,72901,6711,265,457,0,819,0,0,5969,-6305,0,0,82600,6.11,2017-01-01 16:00:00
1781,69774,6304,266,454,0,788,0,0,5624,-5873,0,0,79118,6.4,2017-01-01 17:00:00
1780,69103,6512,266,432,0,713,0,0,5447,-5732,0,0,78521,6,2017-01-01 18:00:00
1780,70596,6707,266,396,0,650,-280,0,5435,-5776,0,0,79775,5.94,2017-01-01 19:00:00
1780,70735,7031,264,401,0,671,-570,0,5446,-5781,0,0,79977,5.94,2017-01-01 20:00:00
1780,69794,6887,264,394,0,725,-818,0,5604,-5822,0,0,78807,5.93,2017-01-01 21:00:00
1780,69067,6501,266,383,0,653,-1070,0,5616,-5928,0,0,77269,5.86,2017-01-01 22:00:00
1780,69345,6550,263,452,0,621,-735,0,6009,-6287,0,0,77999,5.93,2017-01-01 23:00:00
1780,71287,6779,266,430,394,565,0,0,6104,-6441,0,0,81163,6.06,2017-01-02 00:00:00
1780,72853,6848,265,407,3639,484,0,0,6069,-6359,0,0,85988,7.21,2017-01-02 01:00:00
1782,69897,6264,264,405,8000,415,-253,0,6024,-6333,0,0,86466,7.21,2017-01-02 02:00:00
1781,66752,5992,263,396,11283,468,-3652,0,6054,-6315,0,0,83022,6.51,2017-01-02 03:00:00
1780,64778,5856,264,402,12733,501,-6077,0,5966,-6414,0,0,79789,5.94,2017-01-02 04:00:00
1782,63315,5735,265,407,12675,506,-6538,0,5830,-6173,0,0,77806,5.87,2017-01-02 05:00:00
1781,63247,5864,265,406,11423,475,-7047,0,5897,-6286,0,0,76024,5.88,2017-01-02 06:00:00
1781,64271,6054,263,404,8717,514,-6037,0,5948,-6341,0,0,75575,5.85,2017-01-02 07:00:00
1781,66151,6366,263,402,4254,560,-2603,0,6022,-6366,0,0,76830,5.88,2017-01-02 08:00:00
1779,71526,7529,262,407,700,594,-308,0,6055,-6269,0,0,82275,7.01,2017-01-02 09:00:00
1777,77719,10009,263,411,8,666,0,0,5991,-6151,0,0,90692,7.91,2017-01-02 10:00:00
1780,79337,10488,263,412,0,698,0,0,6021,-6237,0,0,92763,7.62,2017-01-02 11:00:00
1781,79503,9773,262,409,1,687,0,0,5984,-6243,0,0,92157,7.81,2017-01-02 12:00:00
1781,79788,8475,260,416,0,639,0,0,5835,-6094,0,0,91100,7.55,2017-01-02 13:00:00
1782,78571,7505,262,411,0,627,0,0,5715,-5984,0,0,88889,7.32,2017-01-02 14:00:00
1781,75763,6750,262,439,0,673,0,0,5832,-6085,0,0,85415,7.08,2017-01-02 15:00:00
1780,73670,6558,263,463,0,644,0,0,5850,-6174,0,0,83054,6.85,2017-01-02 16:00:00
1781,70085,6378,259,470,0,656,-232,0,5830,-6114,0,0,79112,6.13,2017-01-02 17:00:00
1780,69577,6527,261,465,0,672,-668,0,5786,-6116,0,0,78284,6.03,2017-01-02 18:00:00
1780,70548,6901,258,465,0,674,-796,0,5614,-5872,0,0,79572,5.86,2017-01-02 19:00:00
1780,70785,7172,259,459,0,736,-1022,0,5557,-5819,0,0,79908,5.72,2017-01-02 20:00:00
1780,70135,7061,258,402,1,745,-1066,0,5369,-5692,0,0,78993,5.76,2017-01-02 21:00:00
1780,69201,6819,263,420,1,758,-1416,0,5728,-5938,0,0,77616,5.71,2017-01-02 22:00:00
1780,69348,6590,260,466,1,744,-1137,0,5957,-6183,0,0,77827,5.93,2017-01-02 23:00:00
1780,70166,7000,260,438,483,737,-452,0,6033,-6278,0,0,80166,6.51,2017-01-03 00:00:00
1780,70175,7182,259,412,4631,742,0,0,5903,-6119,0,0,84965,6.94,2017-01-03 01:00:00
1781,66476,6755,258,409,9649,687,-393,0,5881,-6208,0,0,85295,6.13,2017-01-03 02:00:00
1780,63593,6433,258,410,13656,709,-3180,0,6042,-6406,0,0,83294,5.93,2017-01-03 03:00:00
1781,63130,6216,259,404,15754,759,-6725,0,5922,-6327,0,0,81174,5.91,2017-01-03 04:00:00
1782,62034,5970,259,407,15540,805,-6998,0,5999,-6239,0,0,79558,5.77,2017-01-03 05:00:00
1780,62074,6130,259,407,13740,772,-6595,0,5736,-6020,0,0,78283,5.61,2017-01-03 06:00:00
1781,62939,6328,258,404,10506,736,-4958,0,5736,-6138,0,0,77592,5.59,2017-01-03 07:00:00
1780,65930,6816,259,413,5791,630,-2009,0,5761,-6163,0,0,79207,5.65,2017-01-03 08:00:00
1778,72177,9255,260,413,1299,561,-462,0,5873,-6133,0,0,85021,6.61,2017-01-03 09:00:00
1777,79977,11437,262,418,22,568,0,0,5769,-5998,0,0,94232,7.77,2017-01-03 10:00:00
1779,82295,12056,260,416,0,522,0,0,5735,-6104,0,0,96959,7.63,2017-01-03 11:00:00
1780,82472,11329,258,416,0,545,0,0,5661,-5939,0,0,96521,7.69,2017-01-03 12:00:00
1780,82715,9934,259,408,0,532,0,0,5448,-5668,0,0,95409,7.74,2017-01-03 13:00:00
1781,81660,8186,261,409,0,505,0,0,5579,-5847,0,0,92534,7.41,2017-01-03 14:00:00
1782,78244,7072,263,435,0,458,0,0,5673,-5996,0,0,87931,7.27,2017-01-03 15:00:00
1781,75660,6849,261,466,0,431,0,0,5771,-6018,0,0,85202,7.02,2017-01-03 16:00:00
1781,72118,6470,260,458,0,447,-316,0,5872,-6200,0,0,80890,6.3,2017-01-03 17:00:00
1781,72238,6442,258,455,0,440,-920,0,5777,-6178,0,0,80294,5.93,2017-01-03 18:00:00
1781,72972,6570,259,457,0,438,-546,0,5500,-5700,0,0,81731,5.94,2017-01-03 19:00:00
1781,73256,6617,259,453,0,519,-397,0,5444,-5788,0,0,82144,5.94,2017-01-03 20:00:00
1781,73210,6505,259,455,0,506,-714,0,5425,-5698,0,0,81731,6.11,2017-01-03 21:00:00
1780,73668,6791,262,455,0,510,-1102,0,5511,-5827,0,0,82048,6.11,2017-01-03 22:00:00
1780,77661,6971,260,462,0,518,-473,0,5324,-5620,0,0,86883,6.83,2017-01-03 23:00:00
1780,80976,8421,260,439,511,499,0,0,5603,-5782,0,0,92708,7.91,2017-01-04 00:00:00
1781,83282,8781,259,409,4681,545,0,0,5415,-5496,0,0,99657,9.34,2017-01-04 01:00:00
1780,79909,8134,259,405,9916,520,-12,0,5551,-5709,0,0,100753,8.25,2017-01-04 02:00:00
1781,74296,7734,258,405,13864,520,-1149,0,5939,-6218,0,0,97429,7.36,2017-01-04 03:00:00
1781,73073,7226,261,405,15948,593,-3579,0,6132,-6585,0,0,95254,6.74,2017-01-04 04:00:00
1781,72751,6620,259,406,15500,648,-5322,0,6464,-6776,0,0,92330,5.91,2017-01-04 05:00:00
1781,73420,6722,260,408,13512,705,-4783,0,6272,-6676,0,0,91620,6.03,2017-01-04 06:00:00
1781,74345,6936,260,409,10029,788,-3208,0,6079,-6344,0,0,91073,6.57,2017-01-04 07:00:00
1782,78055,7514,261,407,4917,870,-1503,0,5569,-5617,0,0,92254,7.22,2017-01-04 08:00:00
1778,84737,9119,259,407,1043,840,-211,0,5276,-5135,0,0,98113,7.98,2017-01-04 09:00:00
1777,91359,11472,264,413,25,862,0,0,5334,-5173,0,0,106333,9.68,2017-01-04 10:00:00
1779,92524,12108,260,416,1,950,0,0,5437,-5390,0,0,108087,8.99,2017-01-04 11:00:00
1780,91862,11284,260,414,0,997,0,0,5475,-5278,0,0,106794,8.9,2017-01-04 12:00:00
1781,91103,9966,258,415,0,1012,0,0,5592,-5462,0,0,104664,8.71,2017-01-04 13:00:00
1780,88535,8340,259,409,0,1104,0,0,5630,-5568,0,0,100489,8.21,2017-01-04 14:00:00
1780,83933,7172,261,436,0,1039,0,0,5644,-5578,0,0,94686,7.52,2017-01-04 15:00:00
1781,79919,6815,262,463,0,999,-129,0,5810,-5874,0,0,90046,7.12,2017-01-04 16:00:00
1781,76111,6000,259,459,0,997,-777,0,5739,-5600,0,0,84969,7.17,2017-01-04 17:00:00
1780,76695,5977,258,456,0,1012,-1912,0,5563,-5575,0,0,84254,6.66,2017-01-04 18:00:00
1781,78065,6496,258,457,0,1004,-2324,0,5484,-5470,0,0,85751,6.12,2017-01-04 19:00:00
1780,78698,6729,260,452,0,1124,-2346,0,5505,-5596,0,0,86605,6.05,2017-01-04 20:00:00
1780,78243,6739,262,452,0,1168,-1766,0,5201,-5270,0,0,86809,6.11,2017-01-04 21:00:00
