,Nú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
0,2019/04/01,7.81,8.1,6.31,699892700
1,2019/04/02,7.79,8.08,6.3,726801550
2,2019/04/03,8.35,8.39,6.19,723656000
3,2019/04/04,7.73,7.62,5.91,730807000
4,2019/04/05,6.86,6.99,6.14,707244250
5,2019/04/06,5.72,5.32,3.8,665081200
6,2019/04/07,5.35,4.91,4.16,641055100
7,2019/04/08,6.45,7.23,5.73,692678400
8,2019/04/09,7.3,6.83,5.49,687230650
9,2019/04/10,13.34,15.73,15.21,705614950
10,2019/04/11,8.86,9.24,7.16,704557850
11,2019/04/12,10.55,10.41,9.15,699236700
12,2019/04/13,8.11,7.09,4.91,654111250
13,2019/04/14,8.03,8.19,7.83,618793700
14,2019/04/15,8.12,8.18,6.95,678710200
15,2019/04/16,8.44,8.21,7.21,696729500
16,2019/04/17,8.49,8.84,8.61,689991650
17,2019/04/18,7.75,7.45,6.43,702541000
18,2019/04/19,8.41,8.92,8.77,692537100
19,2019/04/20,7.36,6.89,5.18,623284300
20,2019/04/21,7.06,7.01,6.0,593187250
21,2019/04/22,7.69,8.09,7.35,677024850
22,2019/04/23,8.14,8.44,8.18,686399600
23,2019/04/24,8.5,9.18,9.3,717838650
24,2019/04/25,8.17,8.8,8.17,723156200
25,2019/04/26,8.29,8.59,7.84,698860800
26,2019/04/27,8.01,7.84,6.51,574226550
27,2019/04/28,7.46,6.87,4.97,556937250
28,2019/04/29,8.17,8.28,7.11,544253600
29,2019/04/30,9.19,10.07,9.25,546900350
30,2019/05/01,8.02,8.45,6.87,534296450
31,2019/05/02,6.33,5.7,3.97,551787450
32,2019/05/03,6.04,5.38,3.88,549617050
33,2019/05/04,5.74,4.95,3.22,538787100
34,2019/05/05,5.95,5.34,4.41,528427300
35,2019/05/06,6.75,6.95,5.73,540029050
36,2019/05/07,7.71,7.86,7.27,659347050
37,2019/05/08,7.6,7.55,6.58,693311200
38,2019/05/09,8.53,9.1,9.1,709325350
39,2019/05/10,8.06,8.45,8.55,708661250
40,2019/05/11,7.11,7.07,6.46,649636550
41,2019/05/12,6.5,6.24,5.11,622975750
42,2019/05/13,7.52,7.63,6.9,719985700
43,2019/05/14,8.11,8.48,8.16,712840350
44,2019/05/15,7.94,8.33,8.07,732676600
45,2019/05/16,7.54,7.83,7.52,738142100
46,2019/05/17,7.69,8.04,7.66,744236350
47,2019/05/18,8.04,8.53,8.83,666687950
48,2019/05/19,6.97,7.09,6.44,660253000
49,2019/05/20,8.78,9.76,9.99,724038100
50,2019/05/21,8.34,9.13,9.4,713575450
51,2019/05/22,7.79,8.14,7.94,729165800
52,2019/05/23,7.52,7.83,6.88,734862800
53,2019/05/24,7.45,7.62,7.01,751939600
54,2019/05/25,7.47,7.36,6.71,682492300
55,2019/05/26,7.17,7.23,6.27,660218500
56,2019/05/27,8.87,9.88,10.28,749021450
57,2019/05/28,9.32,10.36,10.57,733578950
58,2019/05/29,7.91,8.15,7.25,728971450
59,2019/05/30,8.02,8.14,7.82,755491900
60,2019/05/31,8.91,10.09,10.77,730514000
61,2019/06/01,7.16,7.38,6.58,679992350
62,2019/06/02,7.15,7.38,6.45,687373850
63,2019/06/03,8.08,8.81,9.12,739351850
64,2019/06/04,8.32,8.72,9.32,720355300
65,2019/06/05,8.43,8.67,9.2,717301550
66,2019/06/06,8.84,9.87,9.57,739582550
67,2019/06/07,9.75,11.25,12.82,732063850
68,2019/06/08,7.66,8.0,7.95,677541350
69,2019/06/09,6.72,6.58,6.1,636085050
70,2019/06/10,7.82,8.45,8.68,717296000
71,2019/06/11,7.89,8.53,9.17,729017050
72,2019/06/12,7.53,7.76,7.14,726318550
73,2019/06/13,7.41,7.58,7.23,736804750
74,2019/06/14,8.53,9.28,9.91,749887950
75,2019/06/15,7.78,8.34,7.36,680750250
76,2019/06/16,6.5,6.63,5.77,652488150
77,2019/06/17,7.4,8.06,7.88,757760200
78,2019/06/18,7.85,8.38,8.55,769085350
79,2019/06/19,8.02,8.6,9.15,775228200
80,2019/06/20,8.21,8.79,9.32,821728900
81,2019/06/21,8.4,9.22,9.69,816012650
82,2019/06/22,7.72,8.19,8.07,757173900
83,2019/06/23,7.0,7.03,6.06,702347700
84,2019/06/24,7.64,8.23,8.46,783468850
85,2019/06/25,7.73,8.19,8.22,819850450
86,2019/06/26,8.26,9.24,9.64,796849500
87,2019/06/27,9.14,10.56,12.23,776107150
88,2019/06/28,8.68,9.84,9.93,798964350
89,2019/06/29,7.77,8.54,8.86,715128950
90,2019/06/30,7.29,7.96,7.38,716102600
91,2019/07/01,7.76,8.99,9.59,831086750
92,2019/07/02,7.73,8.58,8.6,825988650
93,2019/07/03,7.6,8.56,9.48,835303800
94,2019/07/04,7.86,8.82,8.9,847987750
95,2019/07/05,6.93,7.42,7.18,852156300
96,2019/07/06,6.48,6.48,5.79,782625350
97,2019/07/07,5.83,5.88,5.05,767929200
98,2019/07/08,6.42,6.71,6.44,881017600
99,2019/07/09,6.64,6.84,6.69,873721050
100,2019/07/10,6.78,7.1,7.04,872482700
101,2019/07/11,6.76,7.09,7.03,864454150
