,Nú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
102,2019/07/12,6.96,7.52,7.36,869270800
103,2019/07/13,6.76,7.24,7.59,814597350
104,2019/07/14,6.41,6.72,6.2,780817850
105,2019/07/15,6.14,6.63,5.93,800450500
106,2019/07/16,7.12,7.96,8.57,865492750
107,2019/07/17,7.47,8.25,8.79,881979350
108,2019/07/18,7.73,8.47,9.01,912279900
109,2019/07/19,8.13,9.07,9.39,902032000
110,2019/07/20,7.01,7.55,7.17,810820300
111,2019/07/21,6.8,7.41,6.62,800007000
112,2019/07/22,7.72,8.56,8.94,905666700
113,2019/07/23,7.76,8.4,8.39,927058850
114,2019/07/24,7.99,8.77,9.11,935552400
115,2019/07/25,7.97,8.79,8.98,953949950
116,2019/07/26,8.02,8.94,9.64,951400800
117,2019/07/27,7.87,8.67,8.45,844563700
118,2019/07/28,7.1,7.52,6.18,841135950
119,2019/07/29,8.95,10.45,11.37,935763750
120,2019/07/30,9.72,11.16,12.1,933768350
121,2019/07/31,11.67,13.93,15.54,960516650
122,2019/08/01,13.36,17.29,18.09,989598350
123,2019/08/02,15.18,20.06,20.16,977135150
124,2019/08/03,9.16,9.83,8.87,897310800
125,2019/08/04,8.93,9.86,8.45,856655900
126,2019/08/05,11.81,14.75,15.75,936044750
127,2019/08/06,14.97,19.5,24.86,942256250
128,2019/08/07,16.87,22.84,23.39,944726050
129,2019/08/08,16.8,23.13,23.61,891794200
130,2019/08/09,14.26,18.78,18.36,907183250
131,2019/08/10,10.15,11.86,11.29,839656400
132,2019/08/11,8.77,9.75,9.68,805816800
133,2019/08/12,8.58,9.35,9.59,798873750
134,2019/08/13,8.16,8.66,7.86,836377950
135,2019/08/14,8.66,9.58,10.16,815244900
136,2019/08/15,8.62,9.46,10.03,848221950
137,2019/08/16,8.76,9.39,8.44,851510350
138,2019/08/17,9.27,10.46,8.7,810479200
139,2019/08/18,8.53,9.52,8.01,780645900
140,2019/08/19,13.05,17.11,22.56,839883750
141,2019/08/20,12.78,16.52,19.74,872266100
142,2019/08/21,9.87,11.55,12.98,937767050
143,2019/08/22,9.01,10.29,10.52,939438500
144,2019/08/23,9.26,10.8,11.62,924858750
145,2019/08/24,8.13,8.84,9.21,899957300
146,2019/08/25,6.96,7.37,7.02,840467300
147,2019/08/26,7.46,8.28,8.31,933842200
148,2019/08/27,7.97,8.91,9.55,918616700
149,2019/08/28,8.45,9.58,9.83,914234100
150,2019/08/29,8.45,9.47,9.35,924697500
151,2019/08/30,8.07,8.94,9.21,901562450
152,2019/08/31,7.37,8.07,8.73,848077950
153,2019/09/01,6.24,6.81,6.28,794905300
154,2019/09/02,7.96,9.16,9.2,892028450
155,2019/09/03,8.39,9.6,9.74,900147400
156,2019/09/04,8.07,9.08,9.2,893064700
157,2019/09/05,8.27,9.47,9.62,899521500
158,2019/09/06,8.75,10.0,9.96,908141500
159,2019/09/07,8.51,9.18,9.19,840555700
160,2019/09/08,8.09,8.78,7.87,775362300
161,2019/09/09,13.26,17.41,18.06,869454450
162,2019/09/10,18.81,26.31,26.01,892187800
163,2019/09/11,15.01,19.47,19.18,874601950
164,2019/09/12,12.78,15.88,16.88,873496300
165,2019/09/13,8.62,9.65,9.67,889904000
166,2019/09/14,7.4,7.98,7.78,823051250
167,2019/09/15,7.21,7.76,7.09,770826750
168,2019/09/16,8.57,10.05,9.79,774855000
169,2019/09/17,9.34,10.99,11.41,876565150
170,2019/09/18,8.37,9.36,9.38,885854500
171,2019/09/19,7.54,8.19,8.35,887851450
172,2019/09/20,7.88,8.55,8.97,869323500
173,2019/09/21,7.96,8.39,8.45,783556600
174,2019/09/22,8.05,8.5,8.72,768455450
175,2019/09/23,8.52,9.77,9.05,780581700
176,2019/09/24,8.86,9.57,8.89,856790600
177,2019/09/25,7.95,8.23,7.37,864443950
178,2019/09/26,7.98,8.26,8.16,868975950
179,2019/09/27,8.17,8.88,8.96,856280050
180,2019/09/28,8.61,9.39,9.01,786210500
181,2019/09/29,7.73,8.3,7.87,789170750
182,2019/09/30,9.35,10.44,11.5,856453800
183,2019/10/01,10.53,11.96,13.99,814804200
184,2019/10/02,11.17,13.4,14.71,818625650
185,2019/10/03,10.52,12.11,14.04,816278850
186,2019/10/04,11.3,13.09,13.46,824848300
187,2019/10/05,9.26,10.03,9.18,761262100
188,2019/10/06,7.64,7.56,6.41,730327450
189,2019/10/07,9.67,10.95,11.76,782768850
190,2019/10/08,9.06,10.14,9.92,798698500
191,2019/10/09,7.55,7.92,6.7,771396600
192,2019/10/10,7.85,8.43,8.57,768540300
193,2019/10/11,9.04,10.35,11.33,786453700
194,2019/10/12,7.91,8.82,8.66,741265800
195,2019/10/13,6.22,6.28,5.32,637247600
196,2019/10/14,7.74,8.42,7.75,683689800
197,2019/10/15,7.56,8.01,7.33,773229650
198,2019/10/16,7.34,7.61,6.84,781040850
199,2019/10/17,7.93,8.52,8.43,779500900
200,2019/10/18,8.57,9.46,9.54,785667950
201,2019/10/19,7.86,8.26,8.26,684168900
202,2019/10/20,6.71,6.91,6.37,682576050
203,2019/10/21,8.04,8.81,8.73,768204300
204,2019/10/22,7.28,7.72,7.37,701608000
205,2019/10/23,7.56,7.98,7.59,770631150
206,2019/10/24,8.44,9.28,9.3,779603950
207,2019/10/25,8.05,8.52,8.37,804156950
208,2019/10/26,7.72,8.37,8.11,699636350
209,2019/10/27,6.75,6.89,5.8,646126650
210,2019/10/28,7.54,7.98,6.53,769676900
211,2019/10/29,8.78,9.86,9.54,805315500
212,2019/10/30,7.02,7.17,6.4,785036750
213,2019/10/31,6.67,6.57,5.73,778142100
214,2019/11/01,6.74,6.7,6.63,824839900
215,2019/11/02,6.62,6.51,5.62,628097050
216,2019/11/03,6.64,6.71,6.25,615007700
217,2019/11/04,6.54,6.57,5.56,618935950
218,2019/11/05,6.7,6.53,5.55,764414550
219,2019/11/06,6.59,6.34,5.32,779782050
220,2019/11/07,7.67,7.99,7.61,777689200
221,2019/11/08,7.58,7.9,7.26,764236250
222,2019/11/09,6.57,6.44,5.42,664882600
223,2019/11/10,6.1,5.9,5.16,608423900
224,2019/11/11,8.38,9.23,8.02,740640400
225,2019/11/12,7.11,7.23,6.35,757212200
226,2019/11/13,8.09,8.48,7.98,788620850
227,2019/11/14,7.9,8.27,6.94,773514000
228,2019/11/15,8.35,8.42,7.03,782758950
229,2019/11/16,7.56,7.57,6.1,681990500
230,2019/11/17,6.5,6.41,4.9,661923950
231,2019/11/18,8.21,9.05,8.0,790838100
232,2019/11/19,8.15,8.74,7.05,799734600
233,2019/11/20,8.53,9.11,7.21,804253150
234,2019/11/21,8.29,8.24,6.87,798494600
235,2019/11/22,9.25,9.65,9.46,822228000
236,2019/11/23,7.42,7.54,6.68,676052600
237,2019/11/24,7.07,7.34,6.73,704899500
238,2019/11/25,7.92,8.72,8.91,809088250
239,2019/11/26,8.47,9.0,7.73,841585450
240,2019/11/27,10.01,11.27,11.83,824444950
241,2019/11/28,9.68,10.71,9.66,855108200
242,2019/11/29,9.54,9.72,7.49,853342950
243,2019/11/30,8.44,8.36,5.88,742534650
244,2019/12/01,7.31,7.37,6.11,805911200
245,2019/12/02,8.43,9.05,8.72,877835700
246,2019/12/03,8.19,8.64,7.43,893268400
247,2019/12/04,8.36,8.74,7.68,886994850
248,2019/12/05,9.0,9.69,8.72,884961850
249,2019/12/06,10.12,11.36,10.12,897949350
250,2019/12/07,10.2,11.6,9.3,839209800
251,2019/12/08,7.43,7.42,6.01,802987650
252,2019/12/09,8.8,9.35,7.68,895898800
253,2019/12/10,8.52,8.95,7.84,912780450
254,2019/12/11,8.44,8.89,8.69,902190100
255,2019/12/12,8.13,8.35,7.35,912324950
256,2019/12/13,8.59,8.89,8.13,908919900
257,2019/12/14,7.3,7.36,5.9,827983900
258,2019/12/15,6.87,6.8,4.99,780743050
259,2019/12/16,8.93,9.57,7.68,906294900
260,2019/12/17,9.28,10.06,8.93,911799400
261,2019/12/18,7.9,8.03,6.79,890583600
262,2019/12/19,9.29,10.22,8.97,913069700
263,2019/12/20,7.96,8.3,7.19,923019550
264,2019/12/21,7.87,8.32,7.06,820824400
265,2019/12/22,7.82,8.44,7.16,792658000
266,2019/12/23,8.46,8.97,7.21,896505200
267,2019/12/24,8.24,8.65,7.54,907351700
268,2019/12/25,8.81,9.35,8.38,923930600
269,2019/12/26,9.43,10.6,10.18,919157000
270,2019/12/27,7.63,7.75,6.4,893690350
271,2019/12/28,7.47,7.61,5.61,763866450
272,2019/12/29,7.26,7.38,6.07,772579650
273,2019/12/30,6.88,7.39,5.85,754890050
274,2019/12/31,5.82,5.92,4.51,728534550
275,2020/01/01,5.97,5.63,4.44,719697750
276,2020/01/02,5.97,5.87,4.54,715588650
277,2020/01/03,6.13,5.99,4.56,724015750
278,2020/01/04,6.4,6.41,4.73,739357900
279,2020/01/05,6.64,6.62,4.82,730576000
280,2020/01/06,7.73,8.03,6.71,914373900
281,2020/01/07,8.51,9.27,8.79,913361650
282,2020/01/08,8.12,8.84,8.56,890751850
283,2020/01/09,7.59,7.84,6.25,867607600
284,2020/01/10,8.29,8.71,7.29,872289350
285,2020/01/11,7.81,8.0,6.75,845943300
286,2020/01/12,7.56,8.0,6.68,807477500
287,2020/01/13,7.29,7.62,5.81,825645450
288,2020/01/14,8.06,8.52,7.38,902649400
289,2020/01/15,8.01,8.39,6.77,923740750
290,2020/01/16,8.54,9.2,8.63,909409650
291,2020/01/17,8.86,9.54,8.84,909901600
292,2020/01/18,8.02,8.46,6.77,852694500
293,2020/01/19,7.34,7.44,6.25,814720150
294,2020/01/20,7.85,8.09,6.32,909015550
295,2020/01/21,7.83,7.93,5.59,886748300
296,2020/01/22,8.82,9.36,8.72,906050800
297,2020/01/23,8.67,9.14,8.69,923909300
298,2020/01/24,7.93,8.05,7.38,947147700
299,2020/01/25,7.64,8.07,7.14,846323550
300,2020/01/26,7.31,7.74,6.64,834569350
301,2020/01/27,8.87,10.14,9.51,922891950
302,2020/01/28,8.03,8.66,8.08,938985850
303,2020/01/29,7.64,8.03,6.86,933887700
304,2020/01/30,7.23,7.41,5.82,925453450
305,2020/01/31,7.5,7.72,6.17,938741100
306,2020/02/01,6.87,6.83,4.88,837785450
307,2020/02/02,6.04,5.69,3.99,794826450
308,2020/02/03,7.29,7.72,6.69,921974850
309,2020/02/04,7.54,7.72,6.37,937983650
310,2020/02/05,7.3,7.21,5.47,899421950
311,2020/02/06,9.15,9.8,6.81,915438950
312,2020/02/07,9.57,10.13,8.25,940925100
313,2020/02/08,7.64,7.26,5.48,831846850
314,2020/02/09,7.06,7.04,5.34,846651000
315,2020/02/10,8.57,8.94,6.53,903922250
316,2020/02/11,7.05,6.81,4.72,816930050
317,2020/02/12,7.37,7.43,6.31,939873750
318,2020/02/13,6.67,6.78,5.44,876430750
319,2020/02/14,6.56,6.74,6.58,910279900
320,2020/02/15,5.84,5.71,4.68,836959200
321,2020/02/16,5.6,5.9,5.38,826719700
322,2020/02/17,6.2,6.72,4.97,932931400
323,2020/02/18,7.34,7.56,5.64,936976800
324,2020/02/19,7.19,7.09,5.17,888573050
325,2020/02/20,7.18,7.22,5.32,901350250
326,2020/02/21,6.15,5.57,4.46,906701700
327,2020/02/22,5.67,5.56,3.96,828678350
328,2020/02/23,4.19,3.35,0.18,791498600
329,2020/02/24,5.47,5.17,3.2,804445250
330,2020/02/25,6.51,6.56,5.92,859815800
331,2020/02/26,6.1,5.97,5.32,868724400
332,2020/02/27,6.84,6.84,5.11,897674850
333,2020/02/28,7.65,7.7,6.72,919317150
334,2020/02/29,6.46,6.45,5.54,857550700
335,2020/03/01,5.57,5.42,4.04,777938100
336,2020/03/02,6.22,6.51,5.06,820547850
337,2020/03/03,6.18,6.03,4.47,831550950
338,2020/03/04,8.15,9.29,9.4,849709700
339,2020/03/05,6.41,5.98,4.22,839139800
340,2020/03/06,6.55,5.93,4.07,849027650
341,2020/03/07,6.74,6.66,5.44,784114750
342,2020/03/08,5.48,5.3,3.59,682629250
343,2020/03/09,6.03,6.02,4.95,816627250
344,2020/03/10,7.04,7.89,7.4,842736950
345,2020/03/11,5.58,5.31,4.09,837908350
346,2020/03/12,5.75,5.38,4.14,852958750
347,2020/03/13,6.14,6.08,4.76,874412350
348,2020/03/14,6.55,6.72,5.06,731456250
349,2020/03/15,5.81,5.37,3.41,672092650
350,2020/03/16,7.53,7.55,4.99,840445900
351,2020/03/17,7.16,6.24,4.05,856695650
352,2020/03/18,6.16,5.7,4.23,830909450
353,2020/03/19,5.78,5.44,4.66,815790350
354,2020/03/20,4.93,3.99,1.31,704832100
355,2020/03/21,4.44,3.54,1.25,711146750
356,2020/03/22,5.12,5.11,4.19,714340800
357,2020/03/23,5.29,5.19,4.17,792230100
358,2020/03/24,5.8,5.5,4.35,805305400
359,2020/03/25,5.42,5.07,4.09,798863800
360,2020/03/26,5.05,4.56,3.82,830037100
361,2020/03/27,5.59,5.88,6.38,799542800
362,2020/03/28,5.93,6.32,5.77,739691650
363,2020/03/29,5.03,5.2,3.45,657955100
364,2020/03/30,6.17,6.94,5.96,834750100
365,2020/03/31,5.75,5.98,5.68,822112900
0,2020/04/01,7.11,8.31,8.45,820495900
1,2020/04/02,5.68,5.55,4.37,793736650
2,2020/04/03,5.93,5.64,4.21,805867200
3,2020/04/04,4.3,3.14,1.11,709349300
4,2020/04/05,4.47,3.98,1.45,614509650
5,2020/04/06,5.41,5.43,4.16,793685050
6,2020/04/07,5.58,5.3,3.55,790670050
7,2020/04/08,5.56,5.22,4.25,793289200
8,2020/04/09,5.79,5.52,4.22,779914550
9,2020/04/10,5.58,5.2,3.72,785320500
10,2020/04/11,5.57,4.99,3.64,684721450
11,2020/04/12,5.63,5.77,4.61,752969800
12,2020/04/13,6.6,7.47,6.68,860655050
13,2020/04/14,5.16,4.64,3.19,810471600
14,2020/04/15,5.32,5.04,4.33,818482600
15,2020/04/16,5.74,5.58,4.36,806619750
16,2020/04/17,5.78,6.04,6.29,829530400
17,2020/04/18,5.17,4.8,3.48,634383700
18,2020/04/19,4.24,4.21,3.45,684930750
19,2020/04/20,5.1,5.39,4.8,777172500
20,2020/04/21,4.83,4.83,4.16,797567450
21,2020/04/22,4.68,4.58,4.06,761649200
22,2020/04/23,5.23,5.3,4.58,744076600
23,2020/04/24,5.34,4.99,4.34,752194400
24,2020/04/25,4.03,2.99,0.33,630603800
25,2020/04/26,3.78,3.13,1.37,605492150
26,2020/04/27,4.93,4.89,4.47,697806000
27,2020/04/28,4.91,4.45,3.91,702818150
28,2020/04/29,4.19,3.13,0.69,584960400
29,2020/04/30,5.49,4.95,3.05,672555250
30,2020/05/01,5.25,4.94,3.09,652816300
31,2020/05/02,4.49,3.86,2.22,632802150
32,2020/05/03,4.03,3.59,2.54,644507450
33,2020/05/04,3.7,3.57,1.1,587689000
34,2020/05/05,2.97,2.37,0.01,568272350
35,2020/05/06,3.1,2.58,0.01,585865550
36,2020/05/07,3.23,2.69,1.15,637424550
37,2020/05/08,3.09,2.58,1.46,664755450
38,2020/05/09,3.91,4.0,4.39,669039400
39,2020/05/10,3.97,4.06,3.33,615308050
40,2020/05/11,3.06,2.42,1.25,654251650
41,2020/05/12,3.78,3.53,3.32,680902050
42,2020/05/13,3.67,3.24,2.97,681747050
43,2020/05/14,4.22,3.92,4.21,702739400
44,2020/05/15,4.69,4.86,5.84,751184550
45,2020/05/16,5.16,5.48,4.62,749102850
46,2020/05/17,2.86,2.16,0.01,679221300
47,2020/05/18,5.0,5.98,6.24,780957200
48,2020/05/19,4.58,4.62,4.05,699965300
49,2020/05/20,4.26,4.35,3.63,701376500
50,2020/05/21,4.71,5.0,4.28,712214300
51,2020/05/22,4.69,4.78,4.47,724906750
52,2020/05/23,4.66,4.54,3.27,627301350
53,2020/05/24,2.98,2.56,0.01,582179000
54,2020/05/25,4.99,5.56,5.56,774443200
55,2020/05/26,5.57,6.23,6.26,848319850
56,2020/05/27,5.23,5.43,4.62,738633250
57,2020/05/28,4.73,4.71,3.88,732838050
58,2020/05/29,4.7,4.81,4.57,734816300
59,2020/05/30,4.04,4.12,3.32,681336600
60,2020/05/31,4.16,4.21,2.85,673736850
61,2020/06/01,4.74,5.31,5.77,830661550
62,2020/06/02,3.74,3.74,3.35,777432950
63,2020/06/03,5.43,6.12,6.29,768207600
64,2020/06/04,5.05,5.56,5.25,848848600
65,2020/06/05,5.03,5.52,4.85,871151300
66,2020/06/06,4.54,4.74,4.52,732370250
67,2020/06/07,2.85,2.29,0.35,631397800
68,2020/06/08,4.37,4.76,4.26,812481400
69,2020/06/09,5.34,5.99,5.82,887034100
70,2020/06/10,6.34,7.47,8.42,846636450
71,2020/06/11,8.13,10.36,14.88,844262850
72,2020/06/12,6.78,7.95,8.38,865395450
73,2020/06/13,5.52,6.11,5.75,779418350
74,2020/06/14,4.57,4.86,4.23,756941500
75,2020/06/15,5.95,7.34,8.13,876684650
76,2020/06/16,5.81,6.9,7.62,889882800
77,2020/06/17,5.18,6.04,6.24,911975250
78,2020/06/18,5.77,6.78,7.19,869442000
79,2020/06/19,5.23,6.04,6.18,844376600
80,2020/06/20,3.61,3.66,3.17,717909300
81,2020/06/21,2.71,2.41,0.99,668083450
82,2020/06/22,4.48,5.08,5.36,820419250
83,2020/06/23,4.85,5.44,5.47,848795100
84,2020/06/24,5.04,5.61,5.59,903416950
85,2020/06/25,5.68,6.67,7.16,894132250
86,2020/06/26,5.91,7.1,7.89,910752050
87,2020/06/27,4.24,4.5,3.76,817435400
88,2020/06/28,3.77,4.01,3.28,783980100
89,2020/06/29,4.59,5.31,5.43,929505350
90,2020/06/30,4.9,5.65,5.98,901974950
91,2020/07/01,4.19,4.54,4.06,962332500
92,2020/07/02,4.59,5.14,4.89,934906900
93,2020/07/03,5.03,5.8,6.61,930901350
94,2020/07/04,3.64,4.31,3.78,835740550
95,2020/07/05,3.94,4.56,4.26,822126400
96,2020/07/06,4.86,6.01,7.02,889577200
97,2020/07/07,5.29,6.32,7.22,929528200
98,2020/07/08,5.26,6.14,6.81,928271900
99,2020/07/09,5.29,6.28,6.85,902782500
100,2020/07/10,5.29,6.23,6.55,909232750
101,2020/07/11,4.05,4.45,4.24,831930050
102,2020/07/12,3.49,3.9,3.48,793818400
103,2020/07/13,4.69,5.68,6.66,889377950
104,2020/07/14,4.36,5.04,5.06,917278050
105,2020/07/15,3.8,4.27,4.4,900099650
106,2020/07/16,3.79,4.25,4.07,899890900
107,2020/07/17,3.55,4.18,3.93,902308000
108,2020/07/18,3.63,3.92,3.32,789592400
109,2020/07/19,2.61,3.06,2.05,741555300
110,2020/07/20,3.56,4.72,4.93,828050900
111,2020/07/21,4.06,4.64,4.85,852884850
112,2020/07/22,4.74,5.73,6.46,951889850
113,2020/07/23,3.99,4.78,4.51,811672400
114,2020/07/24,4.0,4.44,4.85,774648250
115,2020/07/25,3.63,4.28,4.3,858533900
116,2020/07/26,3.58,4.37,3.99,841227650
117,2020/07/27,5.25,6.72,7.86,910750600
118,2020/07/28,5.34,6.49,7.14,953344600
119,2020/07/29,4.71,5.53,5.76,950582500
120,2020/07/30,4.72,5.47,5.43,954870750
121,2020/07/31,4.77,5.52,5.45,967440700
122,2020/08/01,3.73,3.86,3.76,808424950
123,2020/08/02,3.13,3.36,3.53,854447250
124,2020/08/03,4.15,5.19,5.61,955402000
125,2020/08/04,4.75,5.4,5.78,991447250
126,2020/08/05,5.61,6.83,6.68,1013380500
127,2020/08/06,5.2,6.04,6.7,1010291750
128,2020/08/07,6.2,7.81,9.83,1001867200
129,2020/08/08,4.57,5.04,4.52,945944350
130,2020/08/09,4.17,4.7,3.83,829994700
131,2020/08/10,4.42,5.07,4.45,831917050
132,2020/08/11,5.46,6.36,6.03,969717600
133,2020/08/12,5.51,6.37,6.93,957923800
134,2020/08/13,4.66,4.93,4.23,971934550
135,2020/08/14,4.54,4.92,4.05,943846150
136,2020/08/15,5.06,5.92,4.63,912714750
137,2020/08/16,4.69,5.26,4.68,905965950
138,2020/08/17,12.77,18.82,23.05,1013165150
139,2020/08/18,11.1,15.83,11.98,1059863800
140,2020/08/19,8.98,11.89,10.02,1068220900
141,2020/08/20,10.76,14.92,14.53,1073752350
142,2020/08/21,9.72,13.09,12.81,1068210300
143,2020/08/22,5.63,6.37,6.7,963967600
144,2020/08/23,4.71,5.2,4.65,925969700
145,2020/08/24,7.28,9.44,10.39,1018019950
146,2020/08/25,9.06,12.43,15.92,1031060000
147,2020/08/26,10.2,14.11,12.76,1030612100
148,2020/08/27,13.31,19.24,26.19,1023863400
149,2020/08/28,13.98,20.02,23.56,1051182250
150,2020/08/29,6.75,7.93,6.62,976569100
151,2020/08/30,5.98,6.95,5.26,941085400
152,2020/08/31,12.02,17.1,19.64,1033426500
153,2020/09/01,9.88,13.58,17.06,982363550
154,2020/09/02,9.17,12.2,14.35,970507150
155,2020/09/03,13.04,18.71,24.13,999101000
156,2020/09/04,12.54,17.56,30.4,993432400
157,2020/09/05,5.97,6.79,6.2,926717700
158,2020/09/06,4.66,5.08,5.22,880171600
159,2020/09/07,9.16,12.64,14.01,962161000
160,2020/09/08,8.82,11.49,9.56,1007282100
161,2020/09/09,10.32,14.03,24.82,966501850
162,2020/09/10,7.46,8.98,9.7,973956950
163,2020/09/11,7.76,10.02,14.02,978577600
164,2020/09/12,5.15,5.64,5.83,876160300
165,2020/09/13,4.59,4.87,4.66,867640050
166,2020/09/14,5.1,5.82,5.95,924870750
167,2020/09/15,4.88,5.55,5.84,936788750
168,2020/09/16,4.91,5.55,5.78,937439250
169,2020/09/17,6.58,8.25,11.55,905851850
170,2020/09/18,7.88,10.22,13.69,942578150
171,2020/09/19,4.62,5.06,5.03,874713150
172,2020/09/20,3.97,4.14,3.77,825223450
173,2020/09/21,3.95,4.08,3.59,840985600
174,2020/09/22,4.14,4.39,4.09,830967600
175,2020/09/23,5.04,5.86,6.93,866102350
176,2020/09/24,4.78,5.44,5.76,898504000
177,2020/09/25,4.63,5.22,5.57,885950550
178,2020/09/26,4.2,4.45,4.27,844795200
179,2020/09/27,3.47,3.32,2.71,738526100
180,2020/09/28,4.13,4.43,4.05,850735000
181,2020/09/29,4.32,4.64,4.59,887701050
182,2020/09/30,4.26,4.57,4.37,888684300
183,2020/10/01,4.49,4.92,4.88,829053450
184,2020/10/02,4.41,4.7,4.31,845399400
185,2020/10/03,4.71,4.78,4.63,776794850
186,2020/10/04,4.1,4.17,3.72,782924350
187,2020/10/05,4.72,5.4,4.76,861654850
188,2020/10/06,4.51,4.77,4.31,845165600
