”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2020/08/15,5.06,5.92,4.63,912714750
2020/08/16,4.69,5.26,4.68,905965950
2020/08/17,12.77,18.82,23.05,1013165150
2020/08/18,11.10,15.83,11.98,1059863800
2020/08/19,8.98,11.89,10.02,1068220900
2020/08/20,10.76,14.92,14.53,1073752350
2020/08/21,9.72,13.09,12.81,1068210300
2020/08/22,5.63,6.37,6.70,963967600
2020/08/23,4.71,5.20,4.65,925969700
2020/08/24,7.28,9.44,10.39,1018019950
2020/08/25,9.06,12.43,15.92,1031060000
2020/08/26,10.20,14.11,12.76,1030612100
2020/08/27,13.31,19.24,26.19,1023863400
2020/08/28,13.98,20.02,23.56,1051182250
2020/08/29,6.75,7.93,6.62,976569100
2020/08/30,5.98,6.95,5.26,941085400
2020/08/31,12.02,17.10,19.64,1033426500
2020/09/01,9.88,13.58,17.06,982363550
2020/09/02,9.17,12.20,14.35,970507150
2020/09/03,13.04,18.71,24.13,999101000
2020/09/04,12.54,17.56,30.40,993432400
2020/09/05,5.97,6.79,6.20,926717700
2020/09/06,4.66,5.08,5.22,880171600
2020/09/07,9.16,12.64,14.01,962161000
2020/09/08,8.82,11.49,9.56,1007282100
2020/09/09,10.32,14.03,24.82,966501850
2020/09/10,7.46,8.98,9.70,973956950
2020/09/11,7.76,10.02,14.02,978577600
2020/09/12,5.15,5.64,5.83,876160300
2020/09/13,4.59,4.87,4.66,867640050
2020/09/14,5.10,5.82,5.95,924870750
2020/09/15,4.88,5.55,5.84,936788750
2020/09/16,4.91,5.55,5.78,937439250
2020/09/17,6.58,8.25,11.55,905851850
2020/09/18,7.88,10.22,13.69,942578150
2020/09/19,4.62,5.06,5.03,874713150
2020/09/20,3.97,4.14,3.77,825223450
2020/09/21,3.95,4.08,3.59,840985600
2020/09/22,4.14,4.39,4.09,830967600
2020/09/23,5.04,5.86,6.93,866102350
2020/09/24,4.78,5.44,5.76,898504000
2020/09/25,4.63,5.22,5.57,885950550
2020/09/26,4.20,4.45,4.27,844795200
2020/09/27,3.47,3.32,2.71,738526100
2020/09/28,4.13,4.43,4.05,850735000
2020/09/29,4.32,4.64,4.59,887701050
2020/09/30,4.26,4.57,4.37,888684300
2020/10/01,4.49,4.92,4.88,829053450
2020/10/02,4.41,4.70,4.31,845399400
2020/10/03,4.71,4.78,4.63,776794850
2020/10/04,4.10,4.17,3.72,782924350
2020/10/05,4.72,5.40,4.76,861654850
2020/10/06,4.51,4.77,4.31,845165600
2020/10/07,4.77,5.14,5.02,839229550
2020/10/08,5.96,7.06,8.01,834373500
2020/10/09,5.79,6.83,6.52,837549500
2020/10/10,4.61,4.99,4.73,787653400
2020/10/11,4.09,4.22,3.60,761231600
2020/10/12,5.59,6.52,6.34,828180750
2020/10/13,5.11,5.45,5.36,862955150
2020/10/14,5.15,5.66,5.11,850701600
2020/10/15,5.31,5.89,5.21,858484550
2020/10/16,5.33,5.67,5.84,847469100
2020/10/17,5.43,6.01,5.90,778278400
2020/10/18,4.42,4.52,3.77,731050100
2020/10/19,5.33,6.07,6.77,820903650
2020/10/20,5.01,5.35,4.41,849484150
2020/10/21,5.18,5.74,5.25,844138250
2020/10/22,6.46,7.73,8.31,821601600
2020/10/23,5.79,6.54,5.75,811984850
2020/10/24,4.48,4.55,3.94,782054300
2020/10/25,3.46,3.01,2.17,694934900
2020/10/26,4.93,5.27,5.15,813409400
2020/10/27,5.32,5.73,4.98,814708150
2020/10/28,5.82,6.21,5.71,835021750
2020/10/29,5.38,5.84,5.19,849304450
2020/10/30,6.08,7.20,5.30,850411600
2020/10/31,4.74,4.79,3.83,733759400
2020/11/01,4.70,4.59,3.88,752719300
2020/11/02,7.17,8.70,9.17,799187900
2020/11/03,4.82,4.97,4.51,756820650
2020/11/04,5.33,5.71,5.16,829976900
2020/11/05,5.68,5.94,5.38,866447600
2020/11/06,6.34,7.10,6.40,850458750
2020/11/07,5.42,5.49,5.66,777849450
2020/11/08,4.53,4.57,3.88,759377600
2020/11/09,5.43,5.80,5.53,879414350
2020/11/10,5.79,6.02,5.61,883766900
2020/11/11,6.37,6.78,5.68,866031950
2020/11/12,6.51,6.69,6.07,888564400
2020/11/13,6.19,6.22,5.92,867670350
2020/11/14,5.25,5.11,4.34,738894650
2020/11/15,4.73,4.59,3.81,704540550
2020/11/16,5.76,6.28,6.18,836298400
2020/11/17,5.73,5.93,5.71,859382150
2020/11/18,5.68,5.93,6.03,839418950
2020/11/19,5.51,5.98,6.20,840822250
2020/11/20,5.59,6.16,6.20,845811800
2020/11/21,4.70,4.87,4.17,747586600
2020/11/22,4.81,4.91,4.23,744252450
2020/11/23,4.81,5.07,4.50,752052050
2020/11/24,5.63,6.06,6.06,857924400
2020/11/25,6.03,6.66,6.25,862874300
2020/11/26,5.60,5.88,6.16,864914850
2020/11/27,6.22,6.72,6.47,872672150
2020/11/28,5.11,5.22,4.36,797997300
2020/11/29,5.30,5.21,4.32,786462950
2020/11/30,6.05,6.31,5.76,889016550
2020/12/01,5.81,6.04,5.36,916060800
2020/12/02,6.32,6.61,5.94,952909600
2020/12/03,6.07,6.27,5.72,948962500
2020/12/04,6.11,6.11,5.67,957433450
2020/12/05,6.13,6.00,5.32,875449900
2020/12/06,5.14,5.27,4.40,829077750
2020/12/07,5.70,6.02,5.55,949592450
2020/12/08,6.04,6.28,6.07,954248000
2020/12/09,6.92,7.31,6.67,976504300
2020/12/10,7.05,7.49,7.05,971496300
2020/12/11,6.63,6.72,6.48,971504650
2020/12/12,6.55,6.60,6.52,873749350
2020/12/13,5.89,5.87,5.40,863198750
2020/12/14,7.54,8.57,7.48,968650800
2020/12/15,9.73,10.35,9.27,1016009350
2020/12/16,20.35,24.33,16.73,952863100
2020/12/17,24.30,30.06,14.16,954340850
2020/12/18,24.66,29.81,21.95,961235050
2020/12/19,13.75,15.14,7.76,971163300
2020/12/20,8.82,9.41,6.54,948071250
2020/12/21,14.72,17.40,8.58,1069575850
2020/12/22,13.38,15.01,9.51,1061948800
2020/12/23,11.53,10.57,8.22,1047399550
2020/12/24,17.27,18.95,14.55,923932850
2020/12/25,14.65,14.79,10.12,1057377500
2020/12/26,35.83,38.59,13.69,802513800
2020/12/27,25.84,32.77,11.50,792377050
2020/12/28,30.82,37.71,19.22,870232050
2020/12/29,20.17,22.40,8.86,848890350
2020/12/30,29.38,35.51,14.74,809350900
2020/12/31,28.69,28.11,13.15,816192800
2021/01/01,30.15,28.97,11.18,803921500
2021/01/02,32.83,33.11,14.83,826142250
2021/01/03,37.66,37.51,16.53,800795200
2021/01/04,48.52,49.65,32.05,871400800
2021/01/05,62.41,67.69,59.21,870212800
2021/01/06,79.38,83.58,77.54,876079050
2021/01/07,89.82,96.91,93.72,881190950
2021/01/08,99.90,107.62,103.27,900651550
2021/01/09,91.69,92.06,60.28,840975100
2021/01/10,90.46,88.99,45.72,838169900
2021/01/11,117.39,128.99,98.23,814328250
2021/01/12,150.25,195.56,191.72,845751950
2021/01/13,154.57,176.98,135.70,868918150
2021/01/14,127.51,152.82,85.84,890669900
2021/01/15,127.40,154.76,98.80,894687150
2021/01/16,48.51,50.45,11.79,840108100
2021/01/17,34.97,45.49,19.20,829904550
2021/01/18,77.20,95.43,33.36,899903650
2021/01/19,97.62,120.52,59.65,891854050
2021/01/20,97.62,120.80,57.63,893536350
2021/01/21,77.90,87.62,28.47,898049750
2021/01/22,62.71,78.33,59.63,887239500
2021/01/23,29.14,38.94,25.73,845029250
2021/01/24,23.01,30.07,14.15,784588550
2021/01/25,12.08,11.38,5.17,913047800
2021/01/26,11.90,13.30,10.62,912144800
2021/01/27,8.56,9.16,6.75,1015312650
2021/01/28,9.73,10.86,8.82,1013369950
2021/01/29,9.53,10.43,8.23,1049760750
2021/01/30,8.06,8.28,6.17,978390250
2021/01/31,6.57,6.31,4.33,946563350
2021/02/01,8.17,8.35,7.32,1011265150
2021/02/02,7.70,7.94,6.23,1032250900
2021/02/03,8.29,8.58,7.14,1044186400
2021/02/04,8.41,8.52,7.02,1050875050
2021/02/05,7.75,7.66,6.43,1049168250
2021/02/06,6.51,6.33,4.49,946582000
2021/02/07,5.69,5.41,3.95,879219200
2021/02/08,7.31,7.70,5.49,1008743000
2021/02/09,8.04,8.11,5.89,1023697800
2021/02/10,7.46,7.25,5.67,1010253600
2021/02/11,7.12,6.86,5.31,944804250
2021/02/12,7.45,7.50,6.93,1023571350
2021/02/13,5.97,5.76,4.64,919403050
2021/02/14,5.14,4.96,3.90,881522750
2021/02/15,8.12,9.00,8.11,938205150
2021/02/16,7.35,7.16,5.27,959768350
2021/02/17,10.69,11.96,8.46,994764250
2021/02/18,12.40,14.22,8.92,1031210450
2021/02/19,8.36,7.79,5.53,1040540050
2021/02/20,6.66,5.97,4.15,909621550
2021/02/21,4.78,3.75,1.03,696531050
2021/02/22,5.65,5.21,4.46,923409550
2021/02/23,6.46,6.43,4.79,793549750
2021/02/24,7.53,7.63,5.08,988037550
2021/02/25,8.08,8.02,6.78,1010001250
2021/02/26,9.17,10.38,9.48,991098150
2021/02/27,7.23,7.13,5.21,867980200
2021/02/28,6.38,6.00,4.19,886984200
2021/03/01,6.72,6.94,6.29,900688950
2021/03/02,8.09,9.40,8.65,925876900
2021/03/03,7.61,7.75,5.59,930874800
2021/03/04,7.30,7.28,6.31,918257450
2021/03/05,6.67,7.15,6.30,896857600
2021/03/06,6.26,6.50,5.62,856065550
2021/03/07,6.37,6.59,4.94,863377550
2021/03/08,7.16,7.48,5.75,896492100
2021/03/09,7.72,7.62,6.30,945335800
2021/03/10,6.29,6.12,4.76,909078600
2021/03/11,7.02,6.78,5.62,881194250
2021/03/12,7.77,8.23,7.87,879381000
2021/03/13,6.58,6.24,5.63,827634050
2021/03/14,4.90,4.10,1.76,722123100
2021/03/15,5.95,5.64,4.51,893990700
2021/03/16,6.43,6.54,6.22,868769750
2021/03/17,6.24,5.84,4.98,874154300
2021/03/18,6.28,5.91,5.05,806981000
2021/03/19,6.27,6.03,5.17,897860650
2021/03/20,6.59,6.16,5.54,840084650
2021/03/21,6.20,6.38,5.63,820194900
2021/03/22,6.18,6.26,4.90,861329600
2021/03/23,6.03,5.37,4.14,818368650
2021/03/24,6.08,5.61,4.63,871516450
2021/03/25,6.29,6.20,5.19,876168250
2021/03/26,4.99,4.32,2.76,877127150
2021/03/27,4.38,3.61,2.69,717804950
2021/03/28,5.23,5.29,5.00,735331100
2021/03/29,4.50,4.01,2.54,781961750
2021/03/30,5.25,5.22,4.93,924321800
2021/03/31,4.12,3.33,1.37,803264300
